name,marktwert,source,team
Jakob Jantscher,"1,5",http://www.transfermarkt.com/austria/startseite/verein/3383,Österreich
Keiren Westwood,"1,5",http://www.transfermarkt.com/republic-of-ireland/startseite/verein/3509,Irland
Shane Duffy,"1,5",http://www.transfermarkt.com/republic-of-ireland/startseite/verein/3509,Irland
Jeff Hendrick,"1,5",http://www.transfermarkt.com/republic-of-ireland/startseite/verein/3509,Irland
Stephen Quinn,"1,5",http://www.transfermarkt.com/republic-of-ireland/startseite/verein/3509,Irland
Robin Olsen,"1,5",http://www.transfermarkt.com/sweden/startseite/verein/3557,Schweden
Erik Johansson,"1,5",http://www.transfermarkt.com/sweden/startseite/verein/3557,Schweden
Kim Källström,"1,5",http://www.transfermarkt.com/sweden/startseite/verein/3557,Schweden
Oscar Lewicki,"1,5",http://www.transfermarkt.com/sweden/startseite/verein/3557,Schweden
Daniel Pudil,"1,5",http://www.transfermarkt.com/czech-republic/startseite/verein/3445,Tschechien
David Pavelka,"1,5",http://www.transfermarkt.com/czech-republic/startseite/verein/3445,Tschechien
Daniel Kolar,"1,5",http://www.transfermarkt.com/czech-republic/startseite/verein/3445,Tschechien
Jirí Skalák,"1,5",http://www.transfermarkt.com/czech-republic/startseite/verein/3445,Tschechien
Dragos Grigore,"1,5",http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Arlind Ajeti,"1,5",http://www.transfermarkt.com/albania/startseite/verein/3561,Albanien
Stuart Dallas,"1,5",http://www.transfermarkt.com/northern-ireland/startseite/verein/5674,Nordirland
Will Grigg,"1,5",http://www.transfermarkt.com/northern-ireland/startseite/verein/5674,Nordirland
Michal Pazdan,"1,7",http://www.transfermarkt.com/poland/startseite/verein/3442,Polen
Ivan Vargic,"1,75",http://www.transfermarkt.com/croatia/startseite/verein/3556,Kroatien
Marc Janko,"1,75",http://www.transfermarkt.com/austria/startseite/verein/3383,Österreich
Josef Sural,"1,75",http://www.transfermarkt.com/czech-republic/startseite/verein/3445,Tschechien
Mergim Mavraj,"1,75",http://www.transfermarkt.com/albania/startseite/verein/3561,Albanien
Jamie Ward,"1,75",http://www.transfermarkt.com/northern-ireland/startseite/verein/5674,Nordirland
Stefan Ilsanker,"1,8",http://www.transfermarkt.com/austria/startseite/verein/3383,Österreich
Richard Keogh,"1,8",http://www.transfermarkt.com/republic-of-ireland/startseite/verein/3509,Irland
Andrei Prepelita,"1,9",http://www.transfermarkt.com/romania/startseite/verein/3447,Rumänien
Christophe Jallet,2,http://www.transfermarkt.com/france/startseite/verein/3377,Frankreich
Eliseu,2,http://www.transfermarkt.com/portugal/startseite/verein/3300,Portugal
Gianluigi Buffon,2,http://www.transfermarkt.com/italy/startseite/verein/3376,Italien
