result,spieler,matchesplayed,minutesplayed,team,land,q,gebdat,pos,laenderspiele,laenderspieltore,quelle,tore,assists,attemptsontarget,attemptsofftarget,attemptsblocked,foulscommited,foulssuffered,yellowcards,passes,passescomplete
1099,Eyal Meshumar,3,270,Israel,Israel,nq,30538,Verteidigung,10,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=95531/index.html,,,2,3,0,3,4,1,109,106
1100,Chris Smalling,4,271,England,England,q,32834,Verteidigung,25,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=250011196/index.html,,,0,0,0,3,0,1,163,151
1119,Alex Muscat,4,299,Malta,Malta,nq,31030,Verteidigung,32,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=69031/index.html,,,0,0,0,3,3,0,53,38
1132,Charis Kyriakou,4,314,Cyprus,Zypern,nq,32796,Verteidigung,8,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250008919/index.html,,,0,0,0,3,3,1,101,76
1136,Bruno Alves,4,316,Portugal,Portugal,q,29917,Verteidigung,85,10,http://www.uefa.com/uefaeuro/season=2016/teams/player=64413/index.html,,,0,0,1,3,1,0,115,97
1149,Vladimir Gadzhev,4,338,Bulgaria,Bulgarien,nq,31976,Mittelfeld,28,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=74621/index.html,,,0,4,1,3,3,1,110,97
1155,Erik Durm,4,342,Germany,Deutschland,q,33736,Verteidigung,7,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250028706/index.html,,,2,2,1,3,5,1,168,153
1166,Steven Whittaker,4,360,Scotland,Schottland,nq,30849,Verteidigung,31,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=68798/index.html,,,1,1,1,3,3,0,163,145
1181,Ádám Lang,4,360,Hungary,Ungarn,q,33986,Verteidigung,11,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250027818/index.html,,,0,0,0,3,2,1,133,123
1183,Ciaran Clark,4,360,Republic of Ireland,Irland,q,32777,Verteidigung,17,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=103871/index.html,,,1,2,0,3,2,0,135,112
1184,David Pavelka,4,360,Czech Republic,Tschechien,q,33376,Mittelfeld,8,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250022366/index.html,,,0,3,4,3,3,1,242,222
1202,Vladimir Volkov,5,382,Montenegro,Montenegro,nq,31569,Verteidigung,18,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250010420/index.html,,,0,0,0,3,7,1,128,109
1229,Andrew Robertson,5,419,Scotland,Schottland,nq,34404,Verteidigung,10,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=250066157/index.html,,,0,1,2,3,3,1,275,251
1243,Brian Perez,6,437,Gibraltar,Gibraltar,nq,31671,Mittelfeld,7,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250071345/index.html,,,0,2,1,3,4,0,70,60
1258,Tadas Kijanskas,5,450,Lithuania,Litauen,nq,31296,Verteidigung,43,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=63900/index.html,,,1,1,0,3,3,1,173,154
1259,Ján Ďurica,5,450,Slovakia,Slowakei,q,29930,Verteidigung,80,5,http://www.uefa.com/uefaeuro/season=2016/teams/player=71720/index.html,,,1,2,1,3,10,1,156,135
1279,Emili Garcia,5,450,Andorra,Andorra,nq,32519,Verteidigung,32,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=96943/index.html,,,0,0,0,3,1,0,28,19
1285,Corry Evans,7,460,Northern Ireland,Nordirland,q,33084,Mittelfeld,34,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=1901633/index.html,,,0,2,0,3,8,0,90,73
1297,Ruslan Gurbanov,6,473,Azerbaijan,Azerbaijan,nq,33493,Angriff,11,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250022151/index.html,,,4,2,0,3,9,1,93,84
1320,Iulian Erhan,6,510,Moldova,Moldawien,nq,31594,Verteidigung,9,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=105550/index.html,,,0,0,0,3,5,1,161,125
1345,Hakan Balta,6,540,Turkey,Türkei,q,30398,Verteidigung,46,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=61752/index.html,,,0,1,0,3,6,1,205,182
1353,Aleksandar Aleksandrov,6,540,Bulgaria,Bulgarien,nq,31515,Verteidigung,12,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=106163/index.html,,,0,0,0,3,5,0,191,182
1361,Jonas Hector,7,558,Germany,Deutschland,q,33020,Verteidigung,14,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=250080523/index.html,,,1,0,1,3,9,0,369,354
1379,Kari Arkivuo,7,604,Finland,Finnland,nq,30490,Verteidigung,42,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=95360/index.html,,,0,1,1,3,4,0,170,151
1398,Vasilis Torosidis,7,630,Greece,Griechenland,nq,31208,Verteidigung,82,7,http://www.uefa.com/uefaeuro/season=2016/teams/player=72623/index.html,,,1,4,4,3,5,3,271,233
1406,Even Hovland,7,630,Norway,Norwegen,nq,32553,Verteidigung,15,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=1902435/index.html,,,0,6,1,3,4,0,365,350
1439,Ricardo Rodríguez,8,692,Switzerland,Schweiz,q,33841,Verteidigung,37,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250011089/index.html,,,3,6,5,3,6,0,462,418
1468,Gerard Piqué,8,720,Spain,Spanien,q,31810,Verteidigung,76,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=93148/index.html,,,0,0,3,3,6,1,542,506
1477,Mikael Antonsson,9,749,Sweden,Schweden,q,29737,Verteidigung,28,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=42650/index.html,,,0,0,0,3,2,0,345,323
1488,Roy Chipolina,10,775,Gibraltar,Gibraltar,nq,30336,Verteidigung,17,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=250057153/index.html,,,0,0,0,3,3,0,162,133
1523,Ucha Lobzhanidze,9,810,Georgia,Georgien,nq,31831,Verteidigung,48,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=100249/index.html,,,0,2,1,3,1,1,272,241
459,Siim Luts,4,15,Estonia,Estland,nq,32579,Mittelfeld,24,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=102113/index.html,,,0,0,0,4,3,0,2,2
572,Ante Rebić,1,44,Croatia,Kroatien,q,34233,Angriff,7,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=250033878/index.html,,,0,1,0,4,0,1,9,7
633,Roman Bezjak,2,69,Slovenia,Slowenien,nq,32560,Angriff,12,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=102951/index.html,,,1,0,0,4,2,0,15,10
693,Zoran Kvržić,1,90,Bosnia and Herzegovina,Bosnien,nq,32362,Mittelfeld,4,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250006817/index.html,,,1,2,0,4,1,1,13,9
694,Darko Brašanac,1,90,Serbia,Serbien,nq,33646,Mittelfeld,3,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250005616/index.html,,,0,0,1,4,0,0,38,36
731,László Sepsi,1,90,Romania,Rumänien,q,31935,Verteidigung,3,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=98890/index.html,,,0,0,0,4,0,1,33,21
778,Daniel Georgievski,1,90,FYR Macedonia,Mazedonien,nq,32190,Mittelfeld,18,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=104194/index.html,,,0,0,0,4,2,1,31,22
806,Valentinos Sielis,2,97,Cyprus,Zypern,nq,32933,Verteidigung,12,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250009950/index.html,,,0,0,0,4,0,0,62,59
828,Isaac Kiese Thelin,4,110,Sweden,Schweden,q,33779,Angriff,7,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250066438/index.html,,,1,4,1,4,1,0,23,21
830,Marc Pujol,2,110,Andorra,Andorra,nq,30184,Mittelfeld,68,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=43537/index.html,,,0,0,0,4,3,1,23,15
845,Patrik Hrošovský,3,121,Slovakia,Slowakei,q,33716,Mittelfeld,12,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250043185/index.html,,,0,0,1,4,3,0,36,30
853,Ljubomir Fejsa,3,124,Serbia,Serbien,nq,32369,Mittelfeld,22,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=105823/index.html,,,0,0,1,4,2,0,95,93
862,David Vaughan,2,133,Wales,Wales,q,30365,Mittelfeld,42,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=65255/index.html,,,0,1,2,4,1,1,112,108
883,Zlatan Ljubijankič,6,143,Slovenia,Slowenien,nq,30665,Angriff,47,6,http://www.uefa.com/uefaeuro/season=2016/teams/player=95734/index.html,,,0,0,3,4,6,1,25,20
902,Simon Church,7,155,Wales,Wales,q,32487,Angriff,36,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=1906114/index.html,,,0,1,0,4,1,1,16,12
904,Elnur Allahverdiyev,2,156,Azerbaijan,Azerbaijan,nq,30622,Verteidigung,38,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=69643/index.html,,,0,0,0,4,1,1,29,23
907,Edu Peppe,5,160,Andorra,Andorra,nq,30344,Mittelfeld,23,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=1903307/index.html,,,0,0,0,4,3,1,17,8
911,Christoph Kramer,3,162,Germany,Deutschland,q,33288,Mittelfeld,12,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250021626/index.html,,,0,0,0,4,3,0,116,108
924,Andrejs Kovaļovs,2,171,Latvia,Lettland,nq,32590,Mittelfeld,10,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250010692/index.html,,,0,1,0,4,2,0,28,25
945,Davide Astori,2,180,Italy,Italien,q,31784,Verteidigung,11,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=101538/index.html,,,0,0,0,4,2,1,163,151
952,Emre Can,2,180,Germany,Deutschland,q,34346,Mittelfeld,6,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250017824/index.html,,,1,0,0,4,1,0,108,97
963,Kenny Tete,2,180,Netherlands,Niederlande,nq,34981,Verteidigung,4,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250042717/index.html,,,0,1,0,4,3,0,106,92
966,Konstantin Engel,2,180,Kazakhstan,Kasachstan,nq,32351,Verteidigung,11,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250035081/index.html,,,2,0,0,4,2,0,57,40
969,Josip Pivarić,2,180,Croatia,Kroatien,q,32538,Mittelfeld,5,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=103298/index.html,,,0,1,1,4,2,0,116,107
981,Krste Velkoski,5,185,FYR Macedonia,Mazedonien,nq,32193,Angriff,9,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=96418/index.html,,,1,1,0,4,1,1,58,48
982,Artur Jędrzejczyk,3,186,Poland,Polen,q,32085,Verteidigung,18,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=105666/index.html,,,0,0,0,4,3,0,72,62
986,Rumyan Hovsepyan,3,189,Armenia,Armenien,nq,33555,Mittelfeld,8,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=1907091/index.html,,,0,1,0,4,3,1,98,88
989,Ivaylo Chochev,3,189,Bulgaria,Bulgarien,nq,34018,Mittelfeld,8,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=250012778/index.html,,,0,1,1,4,1,0,72,65
1003,Šime Vrsaljko,3,198,Croatia,Kroatien,q,33613,Verteidigung,19,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=1906421/index.html,,,0,1,0,4,6,1,79,71
1006,Lazar Marković,4,200,Serbia,Serbien,nq,34395,Mittelfeld,21,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=250014226/index.html,,,0,0,0,4,3,0,77,61
1023,Kevin Malget,3,213,Luxembourg,Luxemburg,nq,33253,Verteidigung,12,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=104064/index.html,,,0,1,0,4,0,1,53,42
1053,Migjen Basha,4,239,Albania,Albanien,q,31782,Mittelfeld,18,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=103087/index.html,,,1,1,1,4,5,1,88,78
1055,Jone Samuelsen,6,242,Norway,Norwegen,nq,30869,Mittelfeld,10,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=59283/index.html,,,2,2,0,4,7,2,68,59
1080,Igor Morozov,3,270,Estonia,Estland,nq,32655,Verteidigung,29,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=107637/index.html,,,1,2,0,4,1,1,116,110
1091,Giannis Maniatis,3,270,Greece,Griechenland,nq,31697,Verteidigung,39,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=97657/index.html,,,1,1,0,4,5,2,175,164
1092,Apostol Popov,3,270,Bulgaria,Bulgarien,nq,30307,Verteidigung,4,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250011604/index.html,,,0,0,0,4,1,0,124,118
1110,Sakari Mattila,5,280,Finland,Finnland,nq,32703,Mittelfeld,8,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=1903951/index.html,,,4,1,1,4,6,0,202,165
1111,Askhat Tagybergen,4,282,Kazakhstan,Kasachstan,nq,33094,Mittelfeld,7,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250005225/index.html,,,2,3,0,4,6,1,124,112
1117,Oscar Lewicki,4,294,Sweden,Schweden,q,33799,Mittelfeld,9,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250005568/index.html,,,0,0,0,4,1,0,136,123
1118,Marko Pjaca,4,296,Croatia,Kroatien,q,34825,Angriff,8,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=250042632/index.html,,,1,3,0,4,4,0,83,71
1123,Denis Polyakov,4,305,Belarus,Belarus,nq,33345,Verteidigung,18,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250039153/index.html,,,0,0,0,4,1,2,119,103
1129,Jaroslav Plašil,5,312,Czech Republic,Tschechien,q,29956,Mittelfeld,100,7,http://www.uefa.com/uefaeuro/season=2016/teams/player=49043/index.html,,,3,1,4,4,4,0,140,115
1145,Sead Kolašinac,4,331,Bosnia and Herzegovina,Bosnien,nq,34140,Mittelfeld,13,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250041626/index.html,,,0,1,0,4,1,1,141,121
1157,Aleksandre Kobakhidze,5,345,Georgia,Georgien,nq,31819,Mittelfeld,31,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=101390/index.html,,,1,4,0,4,5,0,136,123
1169,Ashley Richards,4,360,Wales,Wales,q,,,,,,,,0,0,0,4,6,1,128,113
1170,Kieran Gibbs,4,360,England,England,q,32777,Verteidigung,10,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=1905136/index.html,,,0,0,0,4,5,1,250,223
1191,Odmar Faerø,7,370,Faroe Islands,Faroe Islands,nq,32813,Verteidigung,12,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=108246/index.html,,,0,0,0,4,2,1,84,65
1197,Jano Ananidze,5,374,Georgia,Georgien,nq,33887,Mittelfeld,31,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=1906402/index.html,,,2,2,1,4,5,1,227,202
1208,Gilli Sørensen,8,390,Faroe Islands,Faroe Islands,nq,33827,Mittelfeld,10,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=1908331/index.html,,,0,0,5,4,3,0,101,84
1213,Mikael Lustig,5,399,Sweden,Schweden,q,31759,Verteidigung,52,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=97687/index.html,,,0,0,0,4,3,1,178,148
1223,Anel Hadžić,6,409,Bosnia and Herzegovina,Bosnien,nq,32736,Mittelfeld,13,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=1904076/index.html,,,0,2,0,4,3,2,184,167
1255,Gael Andonian,5,450,Armenia,Armenien,nq,34737,Verteidigung,8,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250053358/index.html,,,0,0,0,4,4,1,214,186
1256,Tom Schnell,5,450,Luxembourg,Luxemburg,nq,31328,Verteidigung,48,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=58931/index.html,,,0,0,0,4,0,0,128,106
1260,Eliseu,5,450,Portugal,Portugal,q,30590,Verteidigung,16,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=65288/index.html,,,0,2,0,4,11,0,173,143
1262,Charlie Mulgrew,5,450,Scotland,Schottland,nq,31477,Verteidigung,24,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=68328/index.html,,,1,2,2,4,7,2,193,159
1272,Jordan Henderson,6,450,England,England,q,33041,Mittelfeld,26,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250010260/index.html,,,2,3,2,4,1,1,327,272
1282,Sheran Yeini,6,458,Israel,Israel,nq,31754,Mittelfeld,17,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=101188/index.html,,,0,1,0,4,5,3,173,153
1288,Alexandru Chipciu,7,462,Romania,Rumänien,q,32646,Mittelfeld,22,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=103854/index.html,,,2,2,0,4,10,3,100,86
1291,Koke,7,464,Spain,Spanien,q,33611,Mittelfeld,21,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=1909917/index.html,,,1,0,3,4,5,1,513,473
1295,Stuart Dallas,6,470,Northern Ireland,Nordirland,q,33347,Mittelfeld,13,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=1908072/index.html,,,1,4,2,4,8,0,100,86
1300,Stephen Ward,6,476,Republic of Ireland,Irland,q,31279,Verteidigung,32,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=70972/index.html,,,0,0,0,4,3,1,206,178
1326,Joona Toivio,7,523,Finland,Finnland,nq,32212,Mittelfeld,36,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=72525/index.html,,,0,2,1,4,3,1,306,291
1339,Tom Høgli,6,540,Norway,Norwegen,nq,30736,Verteidigung,49,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=95009/index.html,,,1,1,0,4,10,2,154,137
1366,Ryan Camilleri,8,573,Malta,Malta,nq,32285,Verteidigung,27,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=72949/index.html,,,1,0,0,4,0,1,134,122
1370,Łukasz Piszczek,7,583,Poland,Polen,q,31201,Verteidigung,46,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=74029/index.html,,,0,3,0,4,4,1,247,219
1389,Andreas Christen,9,626,Liechtenstein,Liechtenstein,nq,32749,Mittelfeld,24,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=97967/index.html,,,2,0,2,4,12,0,97,83
1392,Stefan Ristovski,7,630,FYR Macedonia,Mazedonien,nq,33646,Verteidigung,24,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250004363/index.html,,,0,1,0,4,10,3,213,183
1447,Guram Kashia,8,706,Georgia,Georgien,nq,31962,Verteidigung,46,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=104733/index.html,,,0,1,1,4,3,1,300,263
1466,Solomon Kverkvelia,8,720,Georgia,Georgien,nq,33640,Verteidigung,15,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250013316/index.html,,,0,3,0,4,2,0,243,219
1508,Cristian Brolli,9,810,San Marino,San Marino,nq,33662,Verteidigung,14,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=1906679/index.html,,,0,1,0,4,14,2,92,56
1562,Chris Gunter,10,900,Wales,Wales,q,32710,Verteidigung,67,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=102221/index.html,,,2,1,0,4,7,1,393,358
683,Serghei Gheorghiev,2,85,Moldova,Moldawien,nq,33531,Mittelfeld,17,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=1908113/index.html,,,0,0,0,5,1,2,28,20
869,Vagif Javadov,2,135,Azerbaijan,Azerbaijan,nq,32653,Mittelfeld,56,9,http://www.uefa.com/uefaeuro/season=2016/teams/player=106203/index.html,,,0,0,2,5,2,1,18,12
885,Pól Jóhannus Justinussen,4,146,Faroe Islands,Faroe Islands,nq,32521,Verteidigung,23,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=108247/index.html,,,0,0,0,5,3,0,34,33
891,Rüfat Dadaşov,2,149,Azerbaijan,Azerbaijan,nq,33510,Angriff,15,4,http://www.uefa.com/uefaeuro/season=2016/teams/player=250057705/index.html,,,0,1,0,5,3,1,23,18
948,Marcel Büchel,2,180,Liechtenstein,Liechtenstein,nq,33315,Angriff,4,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250013585/index.html,,,0,0,1,5,4,0,61,47
1002,Alexandru Antoniuc,4,198,Moldova,Moldawien,nq,32651,Mittelfeld,23,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=102031/index.html,,,0,0,0,5,5,1,29,20
1016,Ivan Bandalovski,3,206,Bulgaria,Bulgarien,nq,31739,Verteidigung,16,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=68741/index.html,,,0,0,0,5,2,0,85,74
1033,Tino-Sven Sušić,3,223,Bosnia and Herzegovina,Bosnien,nq,33647,Mittelfeld,8,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250024293/index.html,,,0,3,1,5,3,0,82,75
1034,Stefan Ilsanker,7,223,Austria,Österreich,q,32646,Mittelfeld,16,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=103354/index.html,,,1,1,0,5,2,1,80,69
1060,Vladica Brdarovski,3,253,FYR Macedonia,Mazedonien,nq,32911,Verteidigung,7,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250022165/index.html,,,0,0,0,5,7,1,48,33
1062,Andrea Pirlo,3,253,Italy,Italien,q,28994,Mittelfeld,116,13,http://www.uefa.com/uefaeuro/season=2016/teams/player=26917/index.html,,,0,1,1,5,5,1,228,206
1064,Georgios Economides,6,258,Cyprus,Zypern,nq,32973,Mittelfeld,6,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=103882/index.html,,,0,4,1,5,1,1,129,119
1068,Ivan Maevski,3,260,Belarus,Belarus,nq,32268,Mittelfeld,5,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250007759/index.html,,,1,0,0,5,1,0,116,104
1078,Egzijan Alioski,4,269,FYR Macedonia,Mazedonien,nq,33646,Verteidigung,6,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250028268/index.html,,,1,1,1,5,5,0,80,70
1096,József Varga,3,270,Hungary,Ungarn,q,32300,Mittelfeld,30,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250001910/index.html,,,0,0,0,5,6,1,56,52
1102,Romelu Lukaku,5,273,Belgium,Belgien,q,34102,Angriff,45,15,http://www.uefa.com/uefaeuro/season=2016/teams/player=250010802/index.html,,,3,6,2,5,1,0,71,62
1112,Ádám Nagy,5,285,Hungary,Ungarn,q,34867,Mittelfeld,8,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250083472/index.html,,,0,1,0,5,1,1,115,109
1125,Mirko Ivanovski,6,308,FYR Macedonia,Mazedonien,nq,32812,Angriff,27,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=103234/index.html,,,1,1,1,5,8,0,51,48
1142,Murtaz Daushvili,5,322,Georgia,Georgien,nq,32629,Mittelfeld,28,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=103470/index.html,,,0,0,2,5,7,2,158,145
1143,Nicolai Boilesen,4,328,Denmark,Dänemark,nq,33650,Verteidigung,15,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=1905874/index.html,,,0,3,0,5,3,0,183,173
1151,Lukáš Vácha,4,340,Czech Republic,Tschechien,q,32641,Mittelfeld,8,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=102303/index.html,,,0,0,2,5,1,0,141,125
1163,Leandro,4,360,Hungary,Ungarn,q,30029,Verteidigung,16,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=66043/index.html,,,0,1,0,5,5,3,99,80
1178,Gia Grigalava,4,360,Georgia,Georgien,nq,32725,Verteidigung,23,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250008956/index.html,,,1,0,1,5,7,1,236,215
1190,Rauf Aliyev,5,369,Azerbaijan,Azerbaijan,nq,32551,Angriff,42,7,http://www.uefa.com/uefaeuro/season=2016/teams/player=250031496/index.html,,,0,4,0,5,6,0,47,39
1194,Aaron Sánchez,5,374,Andorra,Andorra,nq,35221,Angriff,6,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250041213/index.html,,,0,0,0,5,8,1,44,32
1206,Ciro Immobile,5,387,Italy,Italien,q,32924,Angriff,13,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=250005254/index.html,,,4,7,2,5,11,2,73,57
1210,Andy King,6,391,Wales,Wales,q,32445,Mittelfeld,33,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=1908783/index.html,,,2,0,0,5,1,0,165,153
1225,Yura Movsisyan,5,412,Armenia,Armenien,nq,31991,Angriff,34,9,http://www.uefa.com/uefaeuro/season=2016/teams/player=250018675/index.html,,,3,5,0,5,7,1,56,42
1246,Mehmet Topal,9,441,Turkey,Türkei,q,31474,Mittelfeld,59,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=106557/index.html,,,1,3,2,5,6,1,183,170
1247,Anthony Bardon,5,442,Gibraltar,Gibraltar,nq,33988,Mittelfeld,9,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250070376/index.html,,,1,1,2,5,7,0,174,151
1250,Mateo Kovačić,8,443,Croatia,Kroatien,q,34460,Mittelfeld,27,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=250023551/index.html,,,0,2,1,5,5,3,302,280
1254,Mathias Jänisch,5,450,Luxembourg,Luxemburg,nq,33112,Verteidigung,42,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=104065/index.html,,,1,1,0,5,2,1,110,88
1268,Tomáš Rosický,5,450,Czech Republic,Tschechien,q,29498,Mittelfeld,103,23,http://www.uefa.com/uefaeuro/season=2016/teams/player=33466/index.html,,,0,2,2,5,8,1,234,198
1270,Gökhan Gönül,5,450,Turkey,Türkei,q,31051,Verteidigung,57,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=1905190/index.html,,,0,2,1,5,8,1,146,129
1275,Artur Pikk,5,450,Estonia,Estland,nq,34033,Verteidigung,14,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=250013524/index.html,,,0,0,0,5,3,1,115,91
1296,Ognjen Vranješ,6,472,Bosnia and Herzegovina,Bosnien,nq,32805,Verteidigung,25,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=1909722/index.html,,,1,0,1,5,9,1,196,181
1308,Orel Dgani,6,486,Israel,Israel,nq,32516,Verteidigung,8,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250002492/index.html,,,0,2,0,5,1,2,182,141
1314,Afran Ismayilov,6,502,Azerbaijan,Azerbaijan,nq,32424,Mittelfeld,29,2,http://www.uefa.com/uefaeuro/season=2016/teams/player=250003472/index.html,,,5,2,5,5,6,0,185,150
1322,Andrei Cojocari,7,518,Moldova,Moldawien,nq,31798,Mittelfeld,22,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=93047/index.html,,,1,5,1,5,4,1,261,232
1327,Vytautas Andriuškevičius,6,525,Lithuania,Litauen,nq,33154,Verteidigung,22,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=107700/index.html,,,0,0,0,5,2,1,213,173
1341,Marc Vales,6,540,Andorra,Andorra,nq,32967,Mittelfeld,40,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=102689/index.html,,,0,1,0,5,2,1,37,28
