result,spieler,matchesplayed,minutesplayed,team,land,q,gebdat,pos,laenderspiele,laenderspieltore,quelle,tore,assists,attemptsontarget,attemptsofftarget,attemptsblocked,foulscommited,foulssuffered,yellowcards,passes,passescomplete
1082,Martin Linnes,3,270,Norway,Norwegen,nq,33501,Verteidigung,14,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250041809/index.html,,,1,0,2,2,3,1,107,98
1084,Michał Pazdan,3,270,Poland,Polen,q,32041,Verteidigung,15,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250000026/index.html,,,0,1,0,2,1,0,104,99
1087,Erin Barnett,3,270,Gibraltar,Gibraltar,nq,35310,Verteidigung,5,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250066494/index.html,,,0,0,0,2,0,1,38,33
1098,Leighton Baines,3,270,England,England,q,31027,Verteidigung,30,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=95588/index.html,,,0,1,1,2,3,1,159,149
1105,Odise Roshi,5,276,Albania,Albanien,q,33380,Mittelfeld,31,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=108488/index.html,,,2,0,0,2,5,1,67,52
1122,Phil Jones,4,302,England,England,q,33655,Verteidigung,20,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250014728/index.html,,,1,1,0,2,1,0,205,192
1124,Marco Parolo,4,305,Italy,Italien,q,31072,Mittelfeld,20,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250025336/index.html,,,3,1,0,2,3,1,139,130
1134,Gökhan Töre,7,315,Turkey,Türkei,q,33623,Mittelfeld,26,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=1909902/index.html,,,3,2,3,2,7,2,141,118
1144,Erik Johansson,4,331,Sweden,Schweden,q,32507,Verteidigung,8,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250059469/index.html,,,0,0,0,2,1,0,96,85
1156,Semih Kaya,4,345,Turkey,Türkei,q,33293,Verteidigung,23,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=107285/index.html,,,0,0,0,2,2,0,179,172
1158,Jonny Evans,4,349,Northern Ireland,Nordirland,q,32145,Verteidigung,49,1,http://www.uefa.com/uefaeuro/season=2016/teams/player=98171/index.html,,,1,1,0,2,5,0,127,99
1175,Ilia Vorotnikov,4,360,Kazakhstan,Kasachstan,nq,31444,Verteidigung,6,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=97551/index.html,,,0,1,0,2,1,0,131,126
1176,Pepe,4,360,Portugal,Portugal,q,30373,Verteidigung,70,3,http://www.uefa.com/uefaeuro/season=2016/teams/player=95417/index.html,,,0,5,1,2,5,1,154,136
1204,Paweł Olkowski,6,384,Poland,Polen,q,32917,Verteidigung,13,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=250040571/index.html,,,0,1,0,2,1,0,150,126
1214,Adam Lallana,6,400,England,England,q,32273,Mittelfeld,23,0,http://www.uefa.com/uefaeuro/season=2016/teams/player=99208/index.html,,,3,4,4,2,11,0,195,172
